rating_id,image_file,feature,grid_cells,description,stated_label,presence,relevance,support,notes
r076,images/r076.png,crypt/gland architecture,B3 C3 C4 D3 D4,Crypts appear dilated and show horizontal growth.,SSA,,,,
r077,images/r077.png,crypt/gland architecture,B2 B3 C3 D3,The crypts show significant basal dilation and a boot-shaped appearance.,SSA,,,,
r078,images/r078.png,crypt/gland architecture,B4 C4 D2 D3,"The crypts are straight and parallel, lacking the basal dilation often seen in SSA.",HP,,,,
r079,images/r079.png,crypt/gland architecture,C3 C4,The crypts show disorganized and distorted glandular architecture.,SSA,,,,
r080,images/r080.png,crypt/gland architecture,B3 C2 C3 D1 D2,"The crypts show basal dilation and expanded, distorted shapes characteristic of a sessile serrated lesion.",SSA,,,,
r081,images/r081.png,inflammatory infiltrate,A3 B1 C3,There is a moderate amount of lymphoplasmacytic cells within the lamina propria.,HP,,,,
r082,images/r082.png,surface epithelium,A1 A4 D1 D2,The surface shows a typical columnar epithelium layering.,HP,,,,
r083,images/r083.png,inflammatory infiltrate,D3 D4,There is a moderate amount of mononuclear inflammatory cells within the lamina propria.,HP,,,,
r084,images/r084.png,serration,B2 B3 C3,The crypts exhibit a characteristic saw-tooth appearance with superficial serration.,HP,,,,
r085,images/r085.png,crypt/gland architecture,B3 C3 D3,Architectural distortion with crypt dilation and branching.,SSA,,,,
r086,images/r086.png,inflammatory infiltrate,A2 B2 D3,There is a moderate amount of inflammatory cells within the stroma.,SSA,,,,
r087,images/r087.png,serration,A4 B3 B4 C3 C4,The crypts show a saw-tooth appearance primarily in the upper half of the mucosa.,HP,,,,
r088,images/r088.png,crypt/gland architecture,A4 B4 C4 D4,Abnormal crypt architecture with dilation is observed.,SSA,,,,
r089,images/r089.png,inflammatory infiltrate,B3 B4 D3,Chronic inflammatory cells are present within the lamina propria.,SSA,,,,
r090,images/r090.png,crypt/gland architecture,A2 B2 C2 D2,"The crypts show basal dilation and a flattened, broadened base.",SSA,,,,
r091,images/r091.png,serration,B2 B3 C3 C4,The glands show a saw-tooth appearance primarily in the upper portions of the crypts.,HP,,,,
r092,images/r092.png,inflammatory infiltrate,B1 C1 D2,There is a moderate amount of inflammatory cells within the lamina propria.,HP,,,,
r093,images/r093.png,surface epithelium,B2 C2,The surface epithelium appears intact and minimally atypical.,SSA,,,,
r094,images/r094.png,serration,B1 B2 C1 C2,Saw-tooth like indentation of the crypts is present primarily in the upper half of the mucosa.,HP,,,,
r095,images/r095.png,crypt/gland architecture,C1 C2 D1 D2,The crypts are straight and do not show basal dilation or distortion.,HP,,,,
r096,images/r096.png,crypt/gland architecture,A3 B2 D1 D2,The crypts show basal dilation and architectural distortion typical of serrated lesions.,SSA,,,,
r097,images/r097.png,crypt/gland architecture,B3 B4 C3 C4 D2 D3,"The crypts are relatively straight and parallel, lacking the basal dilation or distortion characteristic of SSA.",HP,,,,
r098,images/r098.png,serration,A4 B3 B4 C3 C4,Saw-tooth like indentations of the luminal surface are visible throughout the crypts.,SSA,,,,
r099,images/r099.png,serration,B2 B3 C2 C3,Sawtooth-like indentations are visible along the crypt walls.,SSA,,,,
r100,images/r100.png,serration,A4 B3 B4 C3 C4,Saw-tooth patterns are observed primarily in the upper portions of the crypts.,HP,,,,
